"","genus","max.stage","min.stage","GCD","LatRange","LongRange","Extinct","Stage","Regime","phylum","class","order","family"
"256","Heminajas","Ladinian","Norian",4.72345210241343,0.00551309000000089,0.0438976999999987,0,"Ladinian","background","Mollusca","Bivalvia","Trigoniida","Myophoriidae"
"257","Heptanema","Ladinian","Ladinian",30.5912917821996,0.0547703900000016,0.281846340000001,1,"Ladinian","background","Chordata","Coelacanthimorpha",NA,NA
"258","Heterodontus","Ladinian","Aalenian",NA,NA,NA,0,"Ladinian","background","Chordata","Chondrichthyes","Heterodontiformes","Heterodontidae"
"259","Heterolepidotus","Ladinian","Pliensbachian",NA,NA,NA,0,"Ladinian","background","Chordata","Actinopteri","Ionoscopiformes","Furidae"
"260","Hiatella","Ladinian","Sinemurian",NA,NA,NA,0,"Ladinian","background","Mollusca","Bivalvia","Hiatellida","Hiatellidae"
"261","Hibbardella","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Chordata","Conodonta","Prioniodontida",NA
"262","Himavatites","Ladinian","Norian",NA,NA,NA,0,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Tibetitidae"
"263","Hirsutella","Ladinian","Carnian",NA,NA,NA,0,"Ladinian","background","Brachiopoda","Rhynchonellata","Spiriferinida","Bittnerulidae"
"264","Hoernesia","Ladinian","Rhaetian",7494.41980485452,51.647482803956,100.732110419121,0,"Ladinian","background","Mollusca","Bivalvia","Ostreida","Bakevelliidae"
"265","Hoferia","Ladinian","Norian",NA,NA,NA,0,"Ladinian","background","Mollusca","Bivalvia","Cyrtodontida","Pichleriidae"
"266","Holcorhynchella","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae"
"267","Holocoelia","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Porifera","NO_CLASS_SPECIFIED",NA,NA
"268","Holocrinus","Ladinian","Ladinian",9376.50996790533,73.5436284242253,71.5544497790141,1,"Ladinian","background","Echinodermata","Crinoidea","Holocrinida",NA
"269","Hologyra","Ladinian","Norian",399.523711270076,2.18724912541176,2.94593668141177,0,"Ladinian","background","Mollusca","Gastropoda",NA,"Naticopsidae"
"270","Homomya","Ladinian","Aalenian",6653.92737337776,15.6795206070455,69.749469601,0,"Ladinian","background","Mollusca","Bivalvia","Pholadomyida","Pholadomyidae"
"271","Hungarella","Ladinian","Toarcian",NA,NA,NA,0,"Ladinian","background","Arthropoda","Ostracoda","Podocopida","Healdiidae"
"272","Hungarites","Ladinian","Carnian",9404.37922878344,30.349223026701,109.396026644763,0,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Hungaritidae"
"273","Hybodus","Ladinian","Toarcian",3956.24680043277,30.8613914225,21.91525069338,0,"Ladinian","background","Chordata","Chondrichthyes","Hybodontiformes","Hybodontidae"
"274","Iberites","Ladinian","Ladinian",1305.26320363929,8.24978061237113,9.38364527298969,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Hungaritidae"
"275","Indigirites","Ladinian","Ladinian",6091.75271434039,53.2675129646,55.5278046191,1,"Ladinian","background","Mollusca","Cephalopoda","Ceratitida","Nathorstitidae"
"276","Indigirophyllites","Ladinian","Ladinian",2293.01405408302,20.490271968764,4.07743914265169,1,"Ladinian","background","Mollusca","Cephalopoda","Phylloceratida","Ussuritidae"
"277","Indoceltites","Ladinian","Ladinian",NA,NA,NA,1,"Ladinian","background","Mollusca","Cephalopoda","Ammonoidea","Celtitidae"
"278","Indonautilus","Ladinian","Norian",2296.56910155194,11.8496042324382,17.052301183191,0,"Ladinian","background","Mollusca","Cephalopoda","Nautilida","Paranautilidae"
